%Freq (Hz)	Omega
1.000000e-04	1.328876e-12
3.500000e-04	1.259489e-13
6.000000e-04	7.347021e-14
8.500000e-04	5.186132e-14
1.100000e-03	4.007466e-14
1.350000e-03	3.265343e-14
1.600000e-03	2.835782e-14
1.850000e-03	2.835782e-14
2.100000e-03	2.835782e-14
2.350000e-03	2.835782e-14
2.600000e-03	2.835782e-14
2.850000e-03	3.048579e-14
3.100000e-03	3.315998e-14
3.350000e-03	3.583417e-14
3.600000e-03	3.850836e-14
3.850000e-03	4.118255e-14
4.100000e-03	4.657500e-14
4.350000e-03	5.242805e-14
4.600000e-03	5.862743e-14
4.850000e-03	6.517314e-14
5.100000e-03	7.206519e-14
5.350000e-03	7.930357e-14
5.600000e-03	8.688828e-14
5.850000e-03	9.481933e-14
6.100000e-03	1.044814e-13
6.350000e-03	1.178611e-13
6.600000e-03	1.323369e-13
6.850000e-03	1.479521e-13
7.100000e-03	1.647496e-13
7.350000e-03	1.827727e-13
7.600000e-03	2.020645e-13
7.850000e-03	2.226682e-13
8.100000e-03	2.446270e-13
8.350000e-03	2.679839e-13
8.600000e-03	2.927822e-13
8.850000e-03	3.190650e-13
9.100000e-03	3.468754e-13
9.350000e-03	3.762566e-13
9.600000e-03	4.072518e-13
9.850000e-03	4.399041e-13
1.010000e-02	4.742566e-13
1.035000e-02	5.103526e-13
1.060000e-02	5.482352e-13
1.085000e-02	5.879474e-13
1.110000e-02	6.295326e-13
1.135000e-02	6.730338e-13
1.160000e-02	7.184942e-13
1.185000e-02	7.659569e-13
1.210000e-02	8.154651e-13
1.235000e-02	8.804361e-13
1.260000e-02	9.539205e-13
1.285000e-02	1.031912e-12
1.310000e-02	1.114590e-12
1.335000e-02	1.202140e-12
1.360000e-02	1.294749e-12
1.385000e-02	1.392609e-12
1.410000e-02	1.495913e-12
1.435000e-02	1.604862e-12
1.460000e-02	1.719655e-12
1.485000e-02	1.840500e-12
1.510000e-02	1.967604e-12
1.535000e-02	2.101181e-12
1.560000e-02	2.241447e-12
1.585000e-02	2.388620e-12
