%Freq (Hz)	Omega
1.000000e+01	2.905226e-08
1.025000e+01	2.384454e-08
1.050000e+01	1.966371e-08
1.075000e+01	1.628967e-08
1.100000e+01	1.355309e-08
1.125000e+01	1.132295e-08
1.150000e+01	9.523811e-09
1.175000e+01	8.178299e-09
1.200000e+01	7.153229e-09
1.225000e+01	6.348480e-09
1.250000e+01	5.699580e-09
1.275000e+01	5.171080e-09
1.300000e+01	4.728868e-09
1.325000e+01	4.355569e-09
1.350000e+01	4.037408e-09
1.375000e+01	3.763301e-09
1.400000e+01	3.524200e-09
1.425000e+01	3.312602e-09
1.450000e+01	3.130556e-09
1.475000e+01	2.966125e-09
1.500000e+01	2.820276e-09
1.525000e+01	2.689462e-09
1.550000e+01	2.571848e-09
1.575000e+01	2.464747e-09
1.600000e+01	2.369593e-09
1.625000e+01	2.279504e-09
1.650000e+01	2.201851e-09
1.675000e+01	2.128598e-09
1.700000e+01	2.059811e-09
1.725000e+01	2.000539e-09
1.750000e+01	1.943789e-09
1.775000e+01	1.889420e-09
1.800000e+01	1.843581e-09
1.825000e+01	1.799613e-09
1.850000e+01	1.757270e-09
1.875000e+01	1.718973e-09
1.900000e+01	1.685157e-09
1.925000e+01	1.652436e-09
1.950000e+01	1.620761e-09
1.975000e+01	1.592636e-09
2.000000e+01	1.567790e-09
2.025000e+01	1.543633e-09
2.050000e+01	1.520138e-09
2.075000e+01	1.498170e-09
2.100000e+01	1.480335e-09
2.125000e+01	1.462919e-09
2.150000e+01	1.445908e-09
2.175000e+01	1.429289e-09
2.200000e+01	1.415230e-09
2.225000e+01	1.403287e-09
2.250000e+01	1.391577e-09
2.275000e+01	1.380092e-09
2.300000e+01	1.368826e-09
2.325000e+01	1.359908e-09
2.350000e+01	1.352655e-09
2.375000e+01	1.345517e-09
2.400000e+01	1.338491e-09
2.425000e+01	1.331574e-09
2.450000e+01	1.326034e-09
2.475000e+01	1.322673e-09
2.500000e+01	1.319354e-09
2.525000e+01	1.316076e-09
2.550000e+01	1.312838e-09
2.575000e+01	1.309640e-09
2.600000e+01	1.309560e-09
2.625000e+01	1.309560e-09
2.650000e+01	1.309560e-09
2.675000e+01	1.309560e-09
2.700000e+01	1.309560e-09
2.725000e+01	1.310847e-09
2.750000e+01	1.313844e-09
2.775000e+01	1.316819e-09
2.800000e+01	1.319775e-09
2.825000e+01	1.322711e-09
2.850000e+01	1.325628e-09
2.875000e+01	1.330728e-09
2.900000e+01	1.336501e-09
2.925000e+01	1.342250e-09
2.950000e+01	1.347974e-09
2.975000e+01	1.353674e-09
3.000000e+01	1.359349e-09
3.025000e+01	1.367727e-09
3.050000e+01	1.376195e-09
3.075000e+01	1.384647e-09
3.100000e+01	1.393081e-09
3.125000e+01	1.401499e-09
3.150000e+01	1.409899e-09
3.175000e+01	1.421017e-09
3.200000e+01	1.432206e-09
3.225000e+01	1.443395e-09
3.250000e+01	1.454584e-09
3.275000e+01	1.465773e-09
3.300000e+01	1.476963e-09
3.325000e+01	1.490024e-09
3.350000e+01	1.504041e-09
3.375000e+01	1.518085e-09
3.400000e+01	1.532154e-09
3.425000e+01	1.546249e-09
3.450000e+01	1.560370e-09
3.475000e+01	1.574517e-09
3.500000e+01	1.590977e-09
3.525000e+01	1.608053e-09
3.550000e+01	1.625191e-09
3.575000e+01	1.642388e-09
3.600000e+01	1.659646e-09
3.625000e+01	1.676964e-09
3.650000e+01	1.694342e-09
3.675000e+01	1.711779e-09
3.700000e+01	1.732160e-09
3.725000e+01	1.752693e-09
3.750000e+01	1.773330e-09
3.775000e+01	1.794071e-09
3.800000e+01	1.814915e-09
3.825000e+01	1.835862e-09
3.850000e+01	1.856911e-09
3.875000e+01	1.878064e-09
3.900000e+01	1.899319e-09
3.925000e+01	1.922335e-09
3.950000e+01	1.946901e-09
3.975000e+01	1.971623e-09
4.000000e+01	1.996501e-09
4.025000e+01	2.021536e-09
4.050000e+01	2.046726e-09
4.075000e+01	2.072072e-09
4.100000e+01	2.097574e-09
4.125000e+01	2.123233e-09
4.150000e+01	2.149047e-09
4.175000e+01	2.175017e-09
4.200000e+01	2.201143e-09
4.225000e+01	2.228583e-09
4.250000e+01	2.258364e-09
4.275000e+01	2.288364e-09
4.300000e+01	2.318584e-09
4.325000e+01	2.349024e-09
4.350000e+01	2.379686e-09
4.375000e+01	2.410568e-09
4.400000e+01	2.441672e-09
4.425000e+01	2.472997e-09
4.450000e+01	2.504545e-09
4.475000e+01	2.536315e-09
4.500000e+01	2.568307e-09
4.525000e+01	2.600522e-09
4.550000e+01	2.632961e-09
4.575000e+01	2.665623e-09
4.600000e+01	2.698509e-09
4.625000e+01	2.731619e-09
4.650000e+01	2.766549e-09
4.675000e+01	2.803884e-09
4.700000e+01	2.841519e-09
4.725000e+01	2.879456e-09
4.750000e+01	2.917696e-09
4.775000e+01	2.956238e-09
4.800000e+01	2.995084e-09
4.825000e+01	3.034235e-09
4.850000e+01	3.073692e-09
4.875000e+01	3.113454e-09
4.900000e+01	3.153524e-09
4.925000e+01	3.193902e-09
4.950000e+01	3.234588e-09
4.975000e+01	3.275583e-09
5.000000e+01	3.316889e-09
5.025000e+01	3.358506e-09
5.050000e+01	3.400434e-09
5.075000e+01	3.442675e-09
5.100000e+01	3.485230e-09
5.125000e+01	3.528098e-09
5.150000e+01	3.571281e-09
5.175000e+01	3.614780e-09
5.200000e+01	3.658595e-09
5.225000e+01	3.702727e-09
5.250000e+01	3.747177e-09
5.275000e+01	3.792185e-09
5.300000e+01	3.841814e-09
5.325000e+01	3.891855e-09
5.350000e+01	3.942308e-09
5.375000e+01	3.993176e-09
5.400000e+01	4.044460e-09
5.425000e+01	4.096161e-09
5.450000e+01	4.148280e-09
5.475000e+01	4.200820e-09
5.500000e+01	4.253781e-09
5.525000e+01	4.307165e-09
5.550000e+01	4.360973e-09
5.575000e+01	4.415207e-09
5.600000e+01	4.469869e-09
5.625000e+01	4.524959e-09
5.650000e+01	4.580479e-09
5.675000e+01	4.636431e-09
5.700000e+01	4.692816e-09
5.725000e+01	4.749636e-09
5.750000e+01	4.806891e-09
5.775000e+01	4.864583e-09
5.800000e+01	4.922715e-09
5.825000e+01	4.981286e-09
5.850000e+01	5.040299e-09
5.875000e+01	5.099755e-09
5.900000e+01	5.159656e-09
5.925000e+01	5.220002e-09
5.950000e+01	5.280795e-09
